2021-12-05 17:21:08.165 [main] INFO  - Loading §anukkit.yml§f ...
2021-12-05 17:21:08.353 [main] INFO  - Loading §aserver.properties§f ...
2021-12-05 17:21:08.368 [main] INFO  - Selected English (eng) as the base language
2021-12-05 17:21:08.368 [main] INFO  - Starting Minecraft: BE server version §bv1.17.0§r
2021-12-05 17:21:08.384 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2021-12-05 17:21:08.399 [main] INFO  - Opening server on 0.0.0.0:19132
2021-12-05 17:21:08.493 [main] INFO  - This server is running Nukkit version §e1.5.1.0-PN (git-365cca6)§f "§bPowerNukkit§f" (API 1.0.13)
2021-12-05 17:21:08.493 [main] INFO  - Nukkit is distributed under the GPL License
2021-12-05 17:21:11.026 [main] INFO  - Loading recipes...
2021-12-05 17:21:11.901 [main] INFO  - Loaded 1520 recipes.
2021-12-05 17:21:11.901 [main] INFO  - Successfully loaded 0 resource packs
2021-12-05 17:21:12.619 [main] INFO  - Enabling PowerNukkit v1.5.1.0-PN
2021-12-05 17:21:12.666 [main] INFO  - Preparing level "§aworld§f"
2021-12-05 17:21:12.682 [main] INFO  - Preparing start region for level "world"
2021-12-05 17:21:12.822 [main] INFO  - Preparing level "§anether§f"
2021-12-05 17:21:12.822 [main] INFO  - Preparing start region for level "nether"
2021-12-05 17:21:12.916 [main] INFO  - Starting GS4 status listener
2021-12-05 17:21:12.916 [main] INFO  - Setting query port to 19132
2021-12-05 17:21:12.916 [main] INFO  - Query is running on 0.0.0.0:19132
2021-12-05 17:21:12.916 [main] INFO  - Default game type: Survival Mode
2021-12-05 17:21:12.916 [main] INFO  - Done (4.876s)! For help, type "help" or "?"
2021-12-05 17:21:15.618 [main] INFO  - --- Showing help page 1 of 1 (/help <page>) ---
2021-12-05 17:21:15.618 [main] INFO  - §2/ban: §fPrevents the specified player from using this server
2021-12-05 17:21:15.618 [main] INFO  - §2/ban-ip: §fPrevents the specified IP address from using this server
2021-12-05 17:21:15.618 [main] INFO  - §2/banlist: §fView all players banned from this server
2021-12-05 17:21:15.618 [main] INFO  - §2/debugpaste: §fUploads server information to Hastebin
2021-12-05 17:21:15.618 [main] INFO  - §2/defaultgamemode: §fSet the default gamemode
2021-12-05 17:21:15.618 [main] INFO  - §2/deop: §fTakes the specified player's operator status
